         52669681 function calls (51841661 primitive calls) in 3601.814 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       96    0.003    0.000    0.917    0.010 data_storage.py:169(get_measurements_between)
    58681    0.353    0.000    0.900    0.000 config.py:116(_get_single_key)
    26099    0.127    0.000    0.895    0.000 _mixins.py:283(__getitem__)
      566    0.888    0.002    0.889    0.002 {built-in method io.open}
        1    0.000    0.000    0.860    0.860 sensor_manager.py:115(_init_predictor)
     1776    0.008    0.000    0.852    0.000 arraylike.py:116(__mul__)
    16432    0.154    0.000    0.838    0.000 datetimes.py:2129(objects_to_datetime64ns)
     3518    0.022    0.000    0.836    0.000 missing.py:321(func)
     2897    0.010    0.000    0.832    0.000 indexing.py:1569(_get_list_axis)
    42499    0.129    0.000    0.817    0.000 common.py:427(is_period_dtype)
     3518    0.188    0.000    0.814    0.000 missing.py:368(_interpolate_1d)
    27857    0.690    0.000    0.808    0.000 datetimes.py:740(_maybe_cast_for_get_loc)
     3871    0.013    0.000    0.806    0.000 predictor.py:164(in_prediction_horizon)
    88579    0.618    0.000    0.801    0.000 generic.py:259(__init__)
     8814    0.098    0.000    0.786    0.000 managers.py:616(copy)
     4308    0.127    0.000    0.782    0.000 iostream.py:655(write)
    63691    0.122    0.000    0.781    0.000 dispatch.py:13(should_extension_dispatch)
     2306    0.005    0.000    0.777    0.000 base.py:6576(_maybe_cast_listlike_indexer)
     9878    0.075    0.000    0.776    0.000 fromnumeric.py:69(_wrapreduction)
    19106    0.062    0.000    0.774    0.000 generic.py:5973(_consolidate_inplace)
    42669    0.329    0.000    0.771    0.000 _dtype.py:344(_name_get)
     8760    0.127    0.000    0.754    0.000 base.py:7160(min)
   318157    0.402    0.000    0.753    0.000 inference.py:325(is_hashable)
   106558    0.296    0.000    0.744    0.000 common.py:162(is_object_dtype)
     3826    0.014    0.000    0.735    0.000 <__array_function__ internals>:177(all)
    23852    0.448    0.000    0.733    0.000 {pandas._libs.lib.infer_dtype}
     7901    0.051    0.000    0.733    0.000 predictor.py:22(start)
     7834    0.033    0.000    0.728    0.000 managers.py:450(convert)
    12924    0.727    0.000    0.727    0.000 socket.py:626(send)
      444    0.023    0.000    0.720    0.002 base.py:6340(map)
    25297    0.216    0.000    0.717    0.000 datetimes.py:483(_box_func)
     3026    0.042    0.000    0.715    0.000 arrayprint.py:452(_get_format_function)
    19197    0.099    0.000    0.714    0.000 generic.py:5959(_protect_consolidate)
   197216    0.362    0.000    0.711    0.000 common.py:1487(is_ea_or_datetimelike_dtype)
    33553    0.201    0.000    0.706    0.000 numeric.py:290(full)
     3826    0.017    0.000    0.696    0.000 fromnumeric.py:2432(all)
50053/46535    0.050    0.000    0.693    0.000 {built-in method builtins.next}
     8298    0.120    0.000    0.693    0.000 _mixins.py:221(<setcomp>)
      444    0.022    0.000    0.686    0.002 base.py:1054(astype)
    42499    0.158    0.000    0.675    0.000 dtypes.py:977(is_dtype)
    62121    0.091    0.000    0.663    0.000 base.py:2783(_is_multi)
    53280    0.480    0.000    0.662    0.000 function.py:102(validate_argmin_with_skipna)
     3520    0.041    0.000    0.658    0.000 concat.py:527(_concatenate_join_units)
     3026    0.019    0.000    0.645    0.000 arrayprint.py:411(<lambda>)
     1862    0.055    0.000    0.644    0.000 generic.py:5332(_reindex_with_indexers)
     8214    0.116    0.000    0.641    0.000 api.py:204(union_indexes)
    53712    0.199    0.000    0.633    0.000 series.py:661(name)
    80838    0.581    0.000    0.633    0.000 warnings.py:466(__enter__)
     3026    0.030    0.000    0.626    0.000 arrayprint.py:907(__init__)
     8216    0.063    0.000    0.624    0.000 frame.py:951(_values)
       96    0.003    0.000    0.623    0.006 sessions.py:750(merge_environment_settings)
     8298    0.040    0.000    0.621    0.000 concat.py:199(<listcomp>)
   141086    0.617    0.000    0.617    0.000 {built-in method numpy.seterrobj}
    27874    0.184    0.000    0.615    0.000 series.py:565(_set_axis)
     3518    0.014    0.000    0.613    0.000 generic.py:11618(all)
     4308    0.018    0.000    0.612    0.000 iostream.py:577(_schedule_flush)
    66471    0.262    0.000    0.609    0.000 common.py:1246(is_float_dtype)
     1418    0.050    0.000    0.609    0.000 frame.py:1366(iterrows)
       96    0.001    0.000    0.607    0.006 utils.py:826(get_environ_proxies)
     3518    0.018    0.000    0.599    0.000 generic.py:11178(all)
     3026    0.213    0.000    0.593    0.000 arrayprint.py:934(fillFormat)
    19106    0.078    0.000    0.591    0.000 generic.py:5977(f)
    16596    0.260    0.000    0.581    0.000 concat.py:278(_get_mgr_concatenation_plan)
     3518    0.041    0.000    0.581    0.000 generic.py:11108(_logical_func)
   114150    0.176    0.000    0.575    0.000 common.py:352(is_datetime64tz_dtype)
    22609    0.444    0.000    0.574    0.000 cast.py:1763(construct_1d_object_array_from_listlike)
    16594    0.097    0.000    0.567    0.000 _dtype.py:34(__str__)
    29143    0.081    0.000    0.567    0.000 concat.py:660(<genexpr>)
    11381    0.069    0.000    0.561    0.000 managers.py:271(get_dtypes)
    43751    0.227    0.000    0.548    0.000 base.py:54(shape)
      888    0.015    0.000    0.545    0.001 __init__.py:229(to_series)
      192    0.148    0.001    0.535    0.003 request.py:2499(getproxies_environment)
    69336    0.146    0.000    0.526    0.000 common.py:1725(validate_all_hashable)
      444    0.010    0.000    0.525    0.001 base.py:796(_map_values)
       91    0.003    0.000    0.522    0.006 frame.py:1054(__repr__)
     8755    0.081    0.000    0.507    0.000 base.py:7186(max)
     1776    0.104    0.000    0.499    0.000 _parser.py:666(_parse)
      444    0.479    0.001    0.497    0.001 {pandas._libs.lib.map_infer}
   421372    0.351    0.000    0.495    0.000 base.py:925(__len__)
       91    0.003    0.000    0.493    0.005 frame.py:1160(to_string)
     3518    0.025    0.000    0.491    0.000 missing.py:346(_index_to_interp_indices)
    19430    0.147    0.000    0.486    0.000 concat.py:415(is_na)
     2306    0.053    0.000    0.485    0.000 managers.py:689(reindex_indexer)
   137328    0.369    0.000    0.481    0.000 datetimes.py:520(tz)
    13510    0.062    0.000    0.481    0.000 generic.py:4137(_check_setitem_copy)
     3518    0.041    0.000    0.477    0.000 series.py:4773(_reduce)
    46856    0.189    0.000    0.470    0.000 common.py:1278(is_bool_dtype)
   198969    0.469    0.000    0.469    0.000 base.py:870(_reset_identity)
    18806    0.034    0.000    0.465    0.000 managers.py:1864(_consolidate_inplace)
    19197    0.042    0.000    0.464    0.000 managers.py:673(consolidate)
   202587    0.462    0.000    0.462    0.000 {built-in method __new__ of type object at 0x00007FFE7353DF90}
     3546    0.013    0.000    0.457    0.000 datetimelike.py:525(view)
    80695    0.454    0.000    0.454    0.000 {method 'remove' of 'list' objects}
